user_name,pubtime,type,content,trans_num,comment_num,like_num,location,wb_type,,,,,,
songping5366,2020年08月12日00:00,0,战战啊，据咖啡店员说你是上周六去的，现在回北京了吗？明天北京有暴雨哦，好好在家休息休息看书吧怎么感觉你又长个了呢，看上去好高大哦！健身效果不错，身材超棒是不是难得半日闲，可以逛街撸猫喝咖啡??，真好！希望你8月顺顺利利，9月金秋硕果累累！#肖战顺顺利利# ,,,,,原创,普通用户,,,,,
丹字一个沨,2020年08月12日00:00,0,明儿北京要是暴雨～我就自己窝工作室练功 难得清静 2北京 ,,11,5,北京,原创,普通用户,,,,,
Elainemissu,2020年08月12日00:00,0,#城市玩一夏#仿佛我来上海就是为了躲北京的暴雨 来看了最早的星巴克甄选店，二楼真像个酒吧。好喜欢那个白玉兰的杯子。跑到十号线去看了张乐陆的展，比想象中小，但是看到了很多真画，毕竟色彩涂上和印刷出来的效果区别还是很大的。无论是食物还是饮料，包邮区都比北方丰富很多，也精致许多。某人第一次吃到会问几分熟的牛肉汉堡，一路上的皱皱巴巴都被治愈了。半仙豆夫作为今天的奶茶，味道很浓醇。今天还喝了全家全家第二件半价的可口可乐乌龙铁观音，真好啊。晚上看到大家推送的北京暴雨，好像冥冥之中又一次躲过了极端气候，也算幸运吧～ O绿洲 2上海·浦东嘉里中心 ,,2,,上海·浦东嘉里中心,原创,普通用户,,,,,
papa53865,2020年08月12日00:00,0,都在提示北京有特大暴雨，其实兰州也下很大的，希望大家都好。墨水瓶手机很好用，除了看不了图片视频，准确说看不清，失去颜色的世界，本质没有那么吸引人，但是文字的魅力已经尽显足矣 ,,1,1,,原创,,,,,,
中国气象数据,2020年08月12日00:01,0, #12日北京市将有大到暴雨# 北京市防汛指挥部提示：12日早晨至夜间北京市将有大到暴雨，倡议各单位实行弹性工作制、居家办公，建议市民减少出行，停放车辆注意安全，避免到山区、景区、河边和危险地带。建议全市在建工地停止施工。@中国气象局 @中国天气 @中央气象台 明天北京的雨到底有多大？ ,7,9,128,,原创,官方认证,,,,,
KiPat_x,2020年08月12日00:01,0,艾霖#青春有你2 艾霖# 雨林日记 8月11日 星期二 明天北京暴雨 霖霖如果没有工作哪里都不要去了哦 每日感慨 霖霖侧脸真的好看哭了?果然在我立下flag如果霖霖回家继续直播我手写霖霖名字100遍后 霖霖太过于心疼我就没有直播 我真是身插flag遍地走 脸不打肿不罢手霖霖子晚安呐 明天如果还是有工作要注意安全woo～@青春有你2-艾霖 ,,5,6,,原创,,,,,,
清凉微语,2020年08月12日00:01,0,易烊千玺北京明天大暴雨，希望顺利? ,,3,2,,原创,,,,,,
6自己的盖世英雄6,2020年08月12日00:01,0,风好大，呼呼呼你哪里的风有几级,,,,,原创,普通用户,,,,,
雪Ying的日常bot,2020年08月12日00:01,0,#运动# 跳绳4000个：记数方法为等差数列+古诗背诵，已累瘫。 明天北京暴雨，暂停一天。 ,,1,,,原创,,,,,,
薄荷糖味薏米粥的星星,2020年08月12日00:01,0, 开始好奇 明天的雨究竟会有多大 ,,1,,,原创,普通用户,,,,,
可有可无的网友加菲,2020年08月12日00:01,0,就当他是个毒奶吧毕竟是个灾害天气…… ,,,,,原创,普通用户,,,,,
little小尤物,2020年08月12日00:02,0, 风里雨里，我在驾校的车里等你 ,,,1,北京·圆明圆西路,原创,,,,,,
joyxy,2020年08月12日00:02,0,明天不下大暴雨真的对不起北京市民朋友们一晚上的刷屏和奔走相告 ,,,1,,原创,普通用户,,,,,
Captainklose,2020年08月12日00:02,0, 刚收到通知明天在家办公了，到底是多大的雨 ,1,3,,,原创,,,,,,
就叫二百吧,2020年08月12日00:02,0,明天北京大暴雨，患者们会不会就都不来了 ,,,,,原创,,,,,,
珈尔张珈尔,2020年08月12日00:02,0,感觉明天这雨不大都不行了 气氛都烘托到这儿了 … 2北京 ,,,3,北京,原创,普通用户,,,,,
发大财过大年,2020年08月12日00:02,0, 好奇明天雨要吓成啥样，公司都通知居家了 ,,,,,原创,普通用户,,,,,
忙不停怎么办,2020年08月12日00:02,0,明天这雨不下都不行了，气氛都烘托到这了 ,2,6,6,,原创,,,,,,
时尚时尚最时尚的源源酱,2020年08月12日00:03,0,气氛都烘托到这了 这场大雨不下真的很难收场 ,,1,2,,原创,普通用户,,,,,
柔侠ROSIA,2020年08月12日00:03,0,热烈欢迎美少女老板来帝都看海感谢拯救宇宙的mtxx[嘴唇]今天是让人开心的临时北京烤鸭party#侠姐品美食# ps：听说明天北京暴雨，亲们一定要注意安全 ,,,3,,原创,,,,,,
杨茗茗Ymmmmm,2020年08月12日00:03,0, 气氛都烘托到这儿了，这雨会多大呢… ,4,44,117,,原创,,,,,,
楠木spring,2020年08月12日00:03,0, 这个点通知明天居家办公，尴尬的是电脑在公司，而且家里一粒米都没有? ,,1,2,,原创,,,,,,
猫吃鱼907,2020年08月12日00:03,0, 等着宣传的很厉害的暴雨? ,,,,,原创,普通用户,,,,,
沉默年代yu,2020年08月12日00:03,0,北京明天到底能下多大雨，都发暴雨预警了 ,,,,,原创,普通用户,,,,,
樂l李,2020年08月12日00:04,0,这个雨是要下多大呢？ 2北京·东四 ,,1,1,北京·东四,原创,普通用户,,,,,
中二患者你没辙,2020年08月12日00:04,0,大家好，我是雨。现在我的压力好大，讲真的下了这么多年了，第一次不知道该怎么下了，如果下不好，我都对不起这一次次的提醒。所以弱弱的问一下，如果明天我没下好，你们会失望嘛？ ,4,13,46,,原创,普通用户,,,,,
又皮又乖巧,2020年08月12日00:04,0,我挺好奇这雨得多大 2北京·良乡 ,,,,北京·良乡,原创,普通用户,,,,,
J小姐的異想世界,2020年08月12日00:04,0,这段时间各地暴雨轮番上热搜……暴雨是承包了一年的流量么？！！！今天成都、南京，明天又回北京，上周日晚才从北京走……又来……OMG！下班前看到大总在群里发的通知，还以为今天不用上班了呢……原来是提醒我们早点走、以免碰雨迟到……淦！ ,,,,,原创,普通用户,,,,,
太后有喜了,2020年08月12日00:04,0,明天的雨到底多大，各种短信提醒！ ,,,,,原创,个人认证,,,,,
Effy_anran,2020年08月12日00:04,0,明天的雨到底有多大各大app 给我发预警 2北京 ,,8,2,北京,原创,,,,,,
小闫在这捏,2020年08月12日00:05,0,之前没有预警的时候半夜打雷打闪都快下成河了，这预警了不下我觉得都不合适 ,,4,3,,原创,,,,,,
小彩猴,2020年08月12日00:05,0, 特怕天气预报没法收场… ,2,6,1,,原创,,,,,,
NikFanningggg_,2020年08月12日00:05,0,明天北京特大大大大大大大大大暴雨要来了 有可能就是来庆祝生日的所有的游乐设施都关了，那就好好的和小李子在家体会浪漫夜晚吧 ,,2,18,,原创,普通用户,,,,,
感叹号03求早睡,2020年08月12日00:05,0,赶在北京暴雨前夕的深夜兴致勃勃叫了烧烤但这真的不是炒茄子？？？ ,,2,1,,原创,普通用户,,,,,
请你吃红烧肉啊,2020年08月12日00:05,0,偷来的15天很快乐今天就要恢复正常的上班了不太习惯 希望今天北京的雨对我友好一点我真的不想在暴雨中找公司 ,,,3,,原创,普通用户,,,,,
王啸坤,2020年08月12日00:05,0,呀！这天气大哥们都到了，我是不是得助兴一下子啊！,50,95,258,,原创,个人认证,,,,,
刚刚肖战好厉害啊,2020年08月12日00:05,0,雨：压力很大怎么下才不会让大家失望？ ,,,,,原创,个人认证,,,,,
旗旗国王哈,2020年08月12日00:05,0, 等到现在也没等到公司居家办公的通知,,2,2,,原创,,,,,,
H0斑马,2020年08月12日00:06,0,雨有多大！反正我明天需要在家办公 ,,1,1,,原创,普通用户,,,,,
涨停剑客,2020年08月12日00:06,0,朋友今天又发这个图，说明天北京有雷电和大暴雨，这就是天意啊，股市不会差的。 ,,14,36,,原创,个人认证,,,,,
思蕊lareina,2020年08月12日00:06,0,明天不培训了改到了周六……虽然没了一天周末 但我保住了命 ,,,,,原创,普通用户,,,,,
一只外星小菠萝,2020年08月12日00:07,0,嗯……两位哥明天不去上班，大半夜三个人商量明天吃什么～然后赶紧下单～买了各种吃的，水，西瓜，自嗨锅，雪糕………………超市老板真是辛苦，大半夜还送货某人：人家是挣钱的呀！哦！这倒是 ,,,,,原创,,,,,,
雀食不擦,2020年08月12日00:07,0, 我就不一样了 我在想那我怎么吃饭呢 ,,,,,原创,普通用户,,,,,
虞城小辉哥,2020年08月12日00:07,0,这是有多大雨啊，各种短信提醒！还是希望大家尽量别出门！ 2北京 ,,,1,北京,原创,普通用户,,,,,
vivien雪,2020年08月12日00:07,0,所有能通知到我的app，短信，都收着了我现在开始关心暴雨ta现在在路上了么？到哪儿了？能给大家发个定位嚒？ 2北京 ,,,1,北京,原创,普通用户,,,,,
小吉阿大吉,2020年08月12日00:07,0,张张本来是下午4点的飞机，行政小姐姐安排让他去大兴机场，新机场特别大，特别漂亮，就当去参观了，然而……成都的一场大暴雨使得飞机一直晚点，直到晚上8点才通知航班取消，张张只好打车去周边酒店休息，明天北京也是暴雨，航班基本没啥可能性了，所以改坐十小时高铁回成都真是曲折呢！ ,,1,,,原创,普通用户,,,,,
Doushaa,2020年08月12日00:07,0,早晨遇到一只中毒的猫咪 送去了宠物医院自从养了猫 心理承受能力一天比一天差明天北京的暴雨 每一只都要撑过去阿 ,,2,2,,原创,普通用户,,,,,
小士BoBo,2020年08月12日00:07,0, 以前的我：下雨并不影响我要去清华做实验…现在的我：那我明天不出门了，实验先不做了我好佛 ,,4,,,原创,普通用户,,,,,
玉米加农炮呆B,2020年08月12日00:08,0,北京防汛办 你为什么不给我发暴雨预警 我是真的很不想上班 ,,9,1,,原创,普通用户,,,,,
王呀王小漫,2020年08月12日00:08,0,雨跟着我走了是吧，明天回北京依然暴雨 ,,,,,原创,普通用户,,,,,
一丁点香菜也不吃,2020年08月12日00:08,0, 我不是家远的同志！我不配是！我不配！ ,,1,,,原创,普通用户,,,,,
梅丽莎的姐妹,2020年08月12日00:08,0,天气预报，明日北京暴雨，停工。 2北京 ,,,,北京,原创,普通用户,,,,,
二钰要冬眠啦啦啦,2020年08月12日00:08,0, 我真的很好奇北京明天的暴雨有多大，拭目以待 ,,1,,,原创,普通用户,,,,,
回到疫情开始前,2020年08月12日00:09,0,铺天盖地的预警让我不得不对明天充满 期待（齐岱温柔的晚风晚安明天不要太惨[冰雪奇缘雪宝] ,,,,,原创,普通用户,,,,,
叮咚_洋,2020年08月12日00:09,0,大半夜发的暴雨提醒，感觉这雨不下都不行了,,4,,北京,原创,普通用户,,,,,
帝京曾忆旧繁华,2020年08月12日00:09,0,等雨，还没下！不会又忽悠人吧 ,,,1,,原创,普通用户,,,,,
云中莉影,2020年08月12日00:09,0,北京今天的雨必须得下，不下也不行啦！各种气氛都已经烘托出来 ,,,1,,原创,普通用户,,,,,
mumusleepy,2020年08月12日00:09,0,如果今天白天不下雨 那北京的暴雨预警岂不是很打脸 我看降水概率只有60% ,,,,高碑店市,原创,,,,,,
No1人为,2020年08月12日00:09,0,北京市防汛办提示：12日我市将有大到暴雨，倡议各单位弹性工作、居家办公，建议市民减少出行，停放车辆注意安全，避免到山区、河边和危险地带。 2北京 ,,,,北京,原创,普通用户,,,,,
刘笑笑小窝,2020年08月12日00:09,0,#搞笑幽默##搞笑# 哈哈哈哈哈哈哈哈哈哈…… ,1,,2,,原创,个人认证,,,,,
Pamelalyt_-,2020年08月12日00:09,0,明天的车票到北京结果左一个暴雨预警短信右一个防涝防洪通知临睡前还看到闭园通告？这不是巧了吗这不是(难道我是新雨神(别下那么大求求了 ,,,1,,原创,个人认证,,,,,
